volume_author,review_author,aRatio,trunc_volumetitle,volume_title,trunc_revtitle,review_title,tRatio,original_tRaio,volume_year,review_year,docid,rownum
"marshall, edison","marshall, edison.",97,yankee pasha; the adve,yankee pasha; the adventures of jason starbuck.,yankee pasha; the adventures o,yankee pasha; the adventures of jason starbuck.,106,100,1947.0,1947,uc1.$b102262,1737
"brown, katharine holland","brown, katharine holland.",98,wages o,"the wages of honor, and other stories, by katharine holland brown ...","wages of honor, and other stor","wages of honor, and other stories, il",106,100,1917.0,1917,mdp.39015063517158,983
"browne, belmore","browne, belmore.",97,quest of the golden,"the quest of the golden valley; a story of adventure on the yukon,",quest of the golden valley; a ,"quest of the golden valley; a story of adventure on the yukon, il",106,100,1916.0,1916,nyp.33433074815162,475
"schütz, heinrich","schutz, heinrich.",91,when mammoths roamed the froze,when mammoths roamed the frozen earth. translated from the german by frank barnes.,when mammoths roamed the froze,when mammoths roamed the frozen earth; tr.,106,100,1929.0,1930,uc1.$b74585,3324
"starrett, vincent","starrett, vincent.",97,seaports in the moon; a fant,seaports in the moon; a fantasia on romantic themes.,seaports in the moon; a fantas,seaports in the moon; a fantasia on romantic themes.,106,100,1928.0,1928,uc1.$b105656,3147
"anthony, norman","anthony, norman.",97,what to do till the psychiatri,what to do till the psychiatrist comes [by] norman anthony.,what to do till the psychiatri,what to do till the psychiatrist comes.,106,100,1947.0,1947,mdp.39015030945540,1580
"scudder, vida dutton","scudder, vida dutton.",98,brother john; a tale of the fi,"brother john; a tale of the first franciscans, by vida d. scudder.",brother john; a tale of the fi,brother john; a tale of the first franciscans.,106,100,1927.0,1927,mdp.39015063959871,153
"mclaverty, michael","mclaverty, michael.",97,"game cock, and ","the game cock, and other stories; with illus. by sister irena uptegrove.","game cock, and other stories; ","game cock, and other stories; with il.",106,100,1947.0,1947,mdp.39015008625553,224
"sabatini, rafael","sabatini, rafael.",97,bellarion,bellarion the fortunate; a romance.,bellarion the fortunate; a rom,bellarion the fortunate; a romance.,106,100,1926.0,1926,uc1.32106002011648,2641
"aldrich, bess streeter","aldrich, mrs bess (streeter).",86,journey,"journey into christmas, and other stories. illus. by james aldrich.","journey into christmas, and ot","journey into christmas, and other stories; 11.",106,100,1949.0,1949,coo.31924014522209,575
"macmahon, bryan","macmahon, bryan.",97,"lion-tamer, and other stories.","the lion-tamer, and other stories.","lion-tamer, and other stories.","lion-tamer, and other stories.",106,100,1949.0,1949,mdp.39015066051288,3507
"andrews, roy chapman","andrews, roy chapman, ed.",89,my favorite stories of the gre,my favorite stories of the great outdoors [from nature lover's treasury].,my favorite stories of the gre,my favorite stories of the great outdoors; nature lover's treasury.,106,100,1950.0,1950,pst.000006247966,1750
"young, francis brett","young, francis brett.",98,"ship's surgeon's yarn, and oth","the ship's surgeon's yarn, and other stories,","ship's surgeon's yarn, and oth","the ship's surgeon's yarn, and other stories.",106,100,1940.0,1940,mdp.39015030113263,2684
"moyzisch, l. c","moyzisch, l. c.",97,operation cicero; with a posts,operation cicero; with a postscript by franz von papen. translated by constantine fitzgibbon and heinrich fraenkel.,operation cicero; with a posts,operation cicero; with a postscript by franz von papen: tr.,106,100,1950.0,1950,mdp.39015010912411,1010
"young, gordon","young, gordon ray.",84,vengeance of hurric,"the vengeance of hurricane williams, by gordon young...",vengeance of hurricane william,vengeance of hurricane williams.,106,100,1925.0,1926,uc1.b3727943,2608
"brubaker, howard","brubaker, howard.",97,"ranny, otherwi","ranny, otherwise randolph harrington dukes;","ranny, otherwise randolph harr","ranny, otherwise randolph harrington dukes.",106,100,1917.0,1917,uc2.ark+=13960=t3pv6bg42,1076
"mccrone, guy","mccrone, quy.",88,red plush,red plush; the story of the moorhouse family.,red plush; the story of the mo,red plush; the story of the moorhouse family.,106,100,1947.0,1947,uc1.$b105753,5549
"meier, frank","meier, frank.",96,up for air; diving for a livin,"up for air; diving for a living, by frank meier, master diver.",up for air; diving for a livin,up for air; diving for a living.,106,100,1940.0,1940,uc1.$b76938,533
"seton, ernest thompson","seton, ernest thompson, ed.",90,famous animal stories; animal ,"famous animal stories; animal myths, fables, fairy tales, stories of real animals, edited by ernest thompson seton.",famous animal stories; animal ,"famous animal stories; animal myths, fables, fairy tales, stories of real animals.",106,100,1932.0,1932,uc1.$b326253,1524
"sprigg, c. st. john (christopher st. john)","sprigg, christopher st john.",77,corpse with the s,"the corpse with the sunburned face, by c. st. john sprigg.",corpse with the sunburned face,corpse with the sunburned face.,106,100,1935.0,1935,mdp.39015063961323,4567
"saroyan, william","saroyan, william.",97,daring young man on the flying,the daring young man on the flying trapeze and other stories by william saroyan.,daring young man on the flying,"the daring young man on the flying trapeze, and other stories.",106,100,1934.0,1934,mdp.39015002756842,821
"aanrud, hans",aanrud. hans.,88,sidsel longskirt and solve sun,sidsel longskirt and solve suntrap two children of norway by hans aanrud ; translated by dagny mortenson and margery w. bianco ; illustrated by ingri and edgar parin d'aulaire.,sidsel longskirt and solve sun,sidsel longskirt and solve suntrap; two children of norway; tr.,106,100,1935.0,1935,mdp.39015030026226,7
"seago, edward","seago, edward.",96,circus company; li,circus company; life on the road with the travelling show; illustrated by the author; with an introduction by john masefield.,circus company; life on the ro,circus company; life on the road with the travelling show; with an introd.,106,100,1933.0,1934,inu.30000120738954,4912
"aldrich, bess streeter","aldrich, mrs bess (streeter).",86,man who,"the man who caught the weather, and other stories, by bess streeter aldrich.","man who caught the weather, an","the man who caught the weather, and other stories.",106,100,1936.0,1936,mdp.39015014823788,738
"maugham, w. somerset, (william somerset)","maugham, william somerset, ed.",71,introduction to modern english,introduction to modern english and american literature.,introduction to modern english,introduction to modern english and american literature.,106,100,1943.0,1943,uc1.$b683694,1345
"schmidt-pauli, elisabeth von","schmidt.pauli, elisabeth von.",95,"saint elizabeth, sister of sai","saint elizabeth, sister of saint francis, by elisabeth von schmidt-pauli.","saint elizabeth, sister of sai","saint elizabeth, sister of saint francis; [tr.",106,100,1932.0,1933,uc1.$b55159,5585
"strong, l. a. g. (leonard alfred george)","strong, leonard alfred george.",83,"don juan and the wheelbarrow, ","don juan and the wheelbarrow, by l.a.g. strong.","don juan and the wheelbarrow, ","don juan and the wheelbarrow, and other stories.",106,100,1932.0,1933,uc1.$b312607,1842
"sitwell, osbert","sitwell, osbert.",97,"dumb-animal, a","dumb-animal, and other stories.","dumb-animal, and other stories","dumb-animal, and other stories.",106,100,1930.0,1931,mdp.39015030710423,2895
"begbie, harold","begbie, harold.",97,convictions of christopher ste,"the convictions of christopher sterling; a novel, by harold begbie ...",convictions of christopher ste,convictions of christopher sterling.,106,100,1919.0,1919,nyp.33433074927173,1576
"marmur, jacland","marmur, jacland.",97,"sea duty, and other ","sea duty, and other stories of naval action, by jacland marmur.","sea duty, and other stories of","sea duty, and other stories of naval action.",106,100,1944.0,1944,uc1.$b102232,2626
"schuyler, george s.  (george samuel)","schuyler, george samuel.",77,black no more; being an accoun,"black no more; being an account of the strange and wonderful workings of science in the land of the free, a.d. 1933-1940 by george s. schuyler.",black no more; being an accoun,"black no more; being an account of the strange and wonderful workings of science in the land of the free, a.d.",106,100,1931.0,1931,uc1.32106002143938,1262
"maule, harry e (harry edward)","maule, harry edward, ed.",72,great tales of the american we,"great tales of the american west, edited, and with an introduction by harry e. maule.",great tales of the american we,great tales of the american west; with an introd.,106,100,1945.0,1945,uc1.$b251259,2457
"barry, alfred scott","barry, alfred scott, pleud.",83,little girl who couldn't-get-o,the little girl who couldn't-get-over-it by alfred scott barry.,little girl who couldn't-get-o,little girl who couldn't-get-over-it.,106,100,1918.0,1918,nyp.33433074799044,573
"sabatini, rafael","sabatini, rafael.",97,king's mi,"the king's minion; being the rise and fall of robert carr of ferniehurst, earl of somerset, viscount rochester, baron winwick, baron brancepeth, knight of the most noble order of the garter, a member of his majesty's most honorable privy council, &c., &c., &c., by rafael sabatini.",king's minion; being the rise ,"king's minion; being the rise and fall of robert carr of ferniehurst, earl of somerset, viscount rochester, etc.",106,100,1930.0,1930,uc1.$b312433,1777
"blasco ibáñez, vicente","blasco ibanez, vicente.",89,four horsemen of,the four horsemen of the apocalypse. (los cuatro jinetes del apocalipsis) from the spanish of vincente blasco ibáñez; authorized translation by charlotte brewster jordan.,four horsemen of the apocalyps,four horsemen of the apocalypse (los cuatro jlnetes del apocalipsis); auth.,106,100,1918.0,1918,mdp.39015027190902,27
"wimberly, lowry charles","wimberly, lowry charles, ed.",90,mid country; writings from the,"mid country; writings from the heart of america, edited by lowry c. wimberly, with an introduction by b. a. botkin. lincoln, neb., university of nebraska press;",mid country; writings from the,"mid country; writings from the heart of america; x k aiv,1.ntr?dby babotkln.",106,100,1945.0,1945,mdp.39015030932878,2816
"golding, louis","golding, louis.",97,adventures in living,"adventures in living dangerously, by louis golding.",adventures in living dangerous,adventures in living dangerously.,106,100,1930.0,1931,mdp.39015003931790,2574
"crofts, freeman wills","crofts, freeman wills.",98,mystery in the english ch,"mystery in the english channel, by freeman wills crofts.",mystery in the english channel,mystery in the english channel.,106,100,1931.0,1931,mdp.39015063547270,3477
"phillips, margaret mann","phillips, margaret mann.",98,within the city wall; a memoir,"within the city wall; a memoir of childhood,",within the city wall; a memoir,within the city wall; a memoir of childhood.,106,100,1943.0,1943,uc1.b4315608,990
"hoyt, augusta maria (daurer), mrs","hoyt, mrs augusta maria (daurer).",85,toto and i; a gorilla in the f,"toto and i; a gorilla in the family, by a. maria hoyt (mrs. e. kenneth hoyt) 38 illustrations. introduction by roger conant ...",toto and i; a gorilla in the f,toto and i; a gorilla in the family; introd.,106,100,1941.0,1942,coo.31924002902215,4217
"hill, ernestine","hill, ernestine.",97,my love must wait; the story o,my love must wait; the story of matthew flinders. by ernestine hill.,my love must wait; the story o,my love must wait; the story of matthew flinders.,106,100,1942.0,1944,mdp.39015035904211,3248
"hale, nancy","hale, nancy.",96,between the dark and the dayli,between the dark and the daylight by nancy hale.,between the dark and the dayli,between the dark and the daylight.,106,100,1943.0,1943,mdp.39015030748837,202
"pennell, joseph stanley","pennell, joseph stanley.",98,history of rome hanks and kind,the history of rome hanks and kindred matters.,history of rome hanks and kind,history of rome hanks and kindred matters.,106,100,1944.0,1944,mdp.39015059423247,2923
